ime,procesor,ram,ssd,zaslon,graficna,operacijski_sistem,cena,url
Laptop Lenovo ThinkPad X13 G4,Intel i7-1365U,16 GB,512 GB,"13.3""",,Win 11 Pro,"1.199,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-x13-g4-13-3-ips-intel-i7-1365u-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop Lenovo ThinkPad P17 G2,Intel Core i7,32 GB,512 GB,"17.3""",RTX A3000,Win 11 Pro,"1.899,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-p17-g2-17-3-ips-intel-core-i7-11850h-32-gb-ram-512-gb-ssd-rtx-a3000-win-11-pro/?lang=en
Tablet HP Elite X2 G8,Intel i7-1185G7,16 GB,512 GB,"13""",,Win 11 Pro,"999,00 €",https://refurb.si/product/tablet-hp-elite-x2-g8-13-ips-touchscreen-intel-i7-1185g7-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop HP ZBook Power 15 G8,Intel i7-11850H,32 GB,1 TB,"15.6""",RTX A2000,Win 11 Pro,"1.699,00 €",https://refurb.si/product/laptop-hp-zbook-power-15-g8-15-6-ips-intel-i7-11850h-32-gb-ram-1tb-ssd-rtx-a2000-win-11-pro/?lang=en
Prenosnik HP ProBook 450 G9,Intel i7-1255U,16 GB,512 GB,"15.6""",,Win 11 Pro,"999,00 €",https://refurb.si/?post_type=product&p=19822&lang=en
Laptop HP ZBook Fury 15 G8,Intel i7-11800H,32 GB,1 TB,"15.6""",RTX A3000,Win 11 Pro,"1.299,00 €",https://refurb.si/product/laptop-hp-zbook-fury-15-g8-15-6-ips-intel-i7-11800h-32-gb-ram-1-tb-ssd-rtx-a3000-win-11-pro/?lang=en
Laptop HP ZBook Fury 17 G6,Intel i7-9850H,32 GB,512 GB,"17.3""",RTX 3000,Win 11 Pro,"1.199,00 €",https://refurb.si/product/laptop-hp-zbook-fury-17-g6-17-3-ips-intel-i7-9850h-32-gb-ram-512-gb-ssd-rtx-3000-win-11-pro/?lang=en
Tablet HP Elite X2 G4,Intel i7-8565U,16 GB,256 GB,"13""",,Win 11 Pro,"699,00 €",https://refurb.si/product/tablet-hp-elite-x2-g4-13-ips-intel-i7-8565u-16-gb-ram-256-gb-ssd-win-11-pro/?lang=en
Laptop Dell Precision 7740,Intel i7-9850H,16 GB,512 GB,"17.3""",Quadro RTX,Win 11 Pro,"1.249,00 €",https://refurb.si/product/laptop-dell-precision-7740-17-3-intel-i7-9850h-16-gb-ram-512-gb-ssd-quadro-rtx-3000-win-11-pro/?lang=en
Laptop Dell Precision 3480,Intel i7-1360P,16 GB,1 TB,"14""",RTX A500,Win 11 Pro,"1.699,00 €",https://refurb.si/product/laptop-dell-precision-3480-14-ips-intel-i7-1360p-16-gb-ram-1-tb-ssd-rtx-a500-win-11-pro/?lang=en
Laptop HP 250 G10,Intel i7-1355U,16 GB,512 GB,"15.6""",,Win 11 Pro,"999,00 €",https://refurb.si/product/laptop-hp-250-g10-15-6-ips-intel-i7-1355u-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop Dell Precision 7560,Intel i7-11850H,16 GB,512 GB,"15.6""",Quadro T1200,Win 11 Pro,"699,00 €",https://refurb.si/product/laptop-dell-precision-7560-15-6-wva-intel-i7-11850h-16-gb-ram-512-gb-ssd-quadro-t1200-win-11-pro/?lang=en
Laptop Dell Precision 7720,Intel i7-7700HQ,16 GB,512 GB,"17.3""",Quadro P3000,Win 11 Pro,"499,00 €",https://refurb.si/product/laptop-dell-precision-7720-17-3-ips-intel-i7-7700hq-16-gb-ram-512-gb-ssd-quadro-p3000-win-11-pro/?lang=en
Laptop Dell Precision 7560,Intel i7-11850H,16 GB,512 GB,"15.6""",RTX A2000,Win 11 Pro,"999,00 €",https://refurb.si/product/laptop-dell-precision-7560-15-6-wva-intel-i7-11850h-16-gb-ram-512-gb-ssd-rtx-a2000-win-11-pro/?lang=en
Laptop Dell Precision 7670,Intel i7-12850HX,32 GB,512 GB,"16""",RTX A2000,Win 11 Pro,"1.599,00 €",https://refurb.si/product/laptop-dell-precision-7670-16-wva-intel-i7-12850hx-32-gb-ram-512-gb-ssd-rtx-a2000-win-11-pro/?lang=en
Laptop Dell Latitude 5510,Intel i7-10610U,16 GB,512 GB,"15""",,Win 11 Pro,"799,00 €",https://refurb.si/product/laptop-dell-latitude-5510-15%e2%80%b3-intel-i7-10610u-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Prenosnik Dell Precision 5570,Intel i7-12800H,8 GB,512 GB,"15.6""",RTX A1000,Win 11 Pro,"999,00 €",https://refurb.si/?post_type=product&p=22811&lang=en
Laptop Lenovo ThinkBook 15 G4 IAP,Intel i7-1255U,16 GB,512 GB,"15.6""",,Win 11 Pro,"749,00 €",https://refurb.si/product/laptop-lenovo-thinkbook-15-g4-iap-15-6-ips-intel-i7-1255u-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop Lenovo ThinkPad P1 G4,Intel Core i7,32 GB,500 GB,"16""",RTX A2000,Win 11 Pro,"1.299,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-p1-g4-16-ips-intel-core-i7-11850h-32-gb-ram-500-gb-ssd-rtx-a2000-win-11-pro-2/?lang=en
Laptop Lenovo ThinkPad P1 G4,Intel Core i7,32 GB,500 GB,"16""",RTX A2000,Win 11 Pro,"1.299,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-p1-g4-16-ips-intel-core-i7-11850h-32-gb-ram-500-gb-ssd-rtx-a2000-win-11-pro/?lang=en
Prenosnik Lenovo ThinkPad P1 G3,Intel i7-10750H,16 GB,512 GB,"15.6""",Quadro T1000,Win 11 Pro,"1.199,00 €",https://refurb.si/product/prenosnik-lenovo-thinkpad-p1-g3-156-ips-intel-i7-10750h-16-gb-ram-512-gb-ssd-quadro-t1000-win-11-pro/?lang=en
Laptop Dell Precision 7760,Intel i7-11850H,64 GB,512 GB,"17.3""",RTX A5000,Win 11 Pro,"1.999,00 €",https://refurb.si/product/laptop-dell-precision-7760-17-3-intel-i7-11850h-64-gb-ram-512-gb-ssd-rtx-a5000-win-11-pro/?lang=en
Laptop Lenovo ThinkPad P15s G1,Intel i7-10510U,16 GB,512 GB,"15.6""",Quadro P520,Win 11 Pro,"899,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-p15s-g1-15-6-ips-intel-i7-10510u-16-gb-ram-512-gb-ssd-quadro-p520-win-11-pro/?lang=en
Laptop Lenovo ThinkPad P16s G1,Intel i7-1260P,32 GB,1 TB,"16""",,Win 11 Pro,"1.499,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-p16s-g1-16-wqxga-ips-intel-i7-1260p-32-gb-ram-1-tb-ssd-nvidia-t550-win-11-pro/?lang=en
Laptop Lenovo ThinkPad P16s G1,Intel i7-1260P,16 GB,,"16""",,Win 11 Pro,"999,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-p16s-g1-16-ips-intel-i7-1260p-16-gb-ram-512-ssd-nvidia-t550-win-11-pro/?lang=en
Laptop HP 470 G10,Intel i7-1355U,16 GB,512 GB,"17.3""",,Win 11 Pro,"849,00 €",https://refurb.si/product/laptop-hp-470-g10-17-3-ips-intel-i7-1355u-16-gb-ram-512-gb-ssd-geforce-mx550-win-11-pro/?lang=en
Laptop Lenovo ThinkPad X1 Carbon G11,Intel i7-1355U,16 GB,512 GB,"14""",,Win 11 Pro,"1.599,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-x1-carbon-g11-14-ips-intel-i7-1355u-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Laptop Dell Latitude 9520,Intel i7-1185G7,16 GB,512 GB,"15""",,Win 11 Pro,"799,00 €",https://refurb.si/product/laptop-dell-latitude-9520-15-wva-touchscreen-intel-i7-1185g7-16-gb-ram-512-gb-ssd-win-11-pro/?lang=en
Dell Precision 3571 Laptop,Intel i7-12700H,16 GB,512 GB,"15.6""",RTX A1000,Win 11 Pro,"1.099,00 €",https://refurb.si/product/dell-precision-3571-laptop-15-6-ips-intel-i7-12700h-16-gb-ram-512-gb-ssd-rtx-a1000-win-11-pro/?lang=en
Laptop Lenovo Thinkpad P15V G3,Intel i7-12700H,16 GB,512 GB,"15.6""",,Win 11 Pro,"1.199,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-p15v-g3-15-6-ips-touchscreen-intel-i7-12700h-16-gb-ram-512-gb-ssd-nvidia-t600-win-11-pro/?lang=en
Laptop System76 Gazelle,Intel i7-11800H,16 GB,1 TB,"15.6""",RTX 3050,Win 11 Pro,"1.399,00 €",https://refurb.si/product/laptop-system76-gazelle-15-6-ips-intel-i7-11800h-16-gb-ram-1-tb-ssd-rtx-3050-ti-win-11-pro/?lang=en
Laptop Dell Precision 7750,Intel i7-10875H,16 GB,512 GB,"17.3""",RTX 4000,Win 11 Pro,"1.399,00 €",https://refurb.si/product/laptop-dell-precision-7750-17-3-ips-intel-i7-10875h-16-gb-ram-512-gb-ssd-nvidia-rtx-4000-win-11-pro/?lang=en
Laptop Dell Precision 3571,Intel i7-12800H,32 GB,512 GB,"15.6""",Quadro T600,Win 11 Pro,"1.199,00 €",https://refurb.si/product/laptop-dell-precision-3571-15-6-ips-touchscreen-intel-i7-12800h-32-gb-ram-512-gb-ssd-nvidia-quadro-t600-win-11-pro/?lang=en
Laptop Lenovo Thinkpad X1 Yoga G3,Intel i7-8550U,8 GB,256 GB,"14""",,Win 11 Pro,"499,00 €",https://refurb.si/product/laptop-lenovo-thinkpad-x1-yoga-g3-14-ips-touchscreen-intel-i7-8550u-8-gb-ram-256-gb-ssd-win-11-pro/?lang=en
Laptop Gigabyte AORUS 17G KD,Intel i7-11800H,32 GB,512 GB,"17.3""",RTX 3060,Win 11 Pro,"1.499,00 €",https://refurb.si/product/laptop-gigabyte-aorus-17g-kd-17-3-ips-intel-i7-11800h-32-gb-ram-512-gb-ssd-rtx-3060-win-11-pro/?lang=en
